chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	117	19	12	116	1909	2200	2142	281	209
chr10	48	10	3	46	962	1279	847	137	92
chr11	52	8	2	46	933	1195	1172	156	137
chr12	43	11	2	71	1207	1186	1167	194	124
chr13	18	0	0	27	724	804	361	66	35
chr14	20	13	2	28	703	691	691	101	69
chr15	28	7	2	37	570	808	626	108	56
chr16	30	5	2	33	667	694	861	123	51
chr17	49	6	3	52	687	872	1174	174	129
chr18	13	2	2	20	529	776	324	64	19
chr19	61	9	5	140	547	451	1458	211	140
chr2	71	13	1	91	2077	1755	1347	178	125
chr20	17	4	2	38	568	531	567	102	69
chr21	10	2	1	13	224	271	206	41	23
chr22	36	6	0	25	309	461	406	78	52
chr3	56	6	4	83	1371	1908	1178	165	106
chr4	40	6	3	49	1428	1353	764	147	50
chr5	37	7	7	38	1490	1346	1010	160	62
chr6	51	121	2	85	1533	1631	1085	199	122
chr7	42	14	1	68	1110	1664	944	161	107
chr8	30	6	3	37	1058	1207	718	114	38
chr9	40	8	1	37	794	1184	810	130	96
