chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	123	31	14	173	2185	2223	1435	293	266
chr10	49	9	6	41	1082	1345	542	137	106
chr11	37	9	9	108	967	1127	729	156	118
chr12	61	11	3	101	1166	1261	817	185	146
chr13	12	4	0	27	513	645	233	76	52
chr14	24	29	8	79	852	921	422	107	69
chr15	25	3	0	77	732	853	474	103	93
chr16	49	8	7	84	672	871	544	119	104
chr17	66	15	3	121	787	1109	822	225	159
chr18	16	4	0	15	489	696	191	78	44
chr19	55	20	9	106	617	606	946	209	182
chr2	61	22	11	114	2062	2034	887	176	149
chr20	34	8	4	46	610	624	350	78	58
chr21	10	4	1	30	246	247	118	39	30
chr22	20	7	3	67	332	463	323	97	67
chr3	63	16	4	90	1333	1723	782	145	154
chr4	32	10	1	34	985	1141	468	106	68
chr5	51	17	6	100	1365	1286	628	167	114
chr6	65	112	4	175	1791	1701	707	131	106
chr7	34	18	2	55	921	1388	622	161	127
chr8	33	13	3	51	1165	1034	423	102	83
chr9	37	7	3	46	810	978	485	124	109
