chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	32	10	0	71	263	142	943	70	80
chr10	33	10	0	12	188	57	693	53	39
chr11	10	3	0	33	115	57	612	48	57
chr12	25	10	0	33	170	46	650	39	51
chr13	13	0	0	9	104	24	200	36	36
chr14	5	0	0	12	132	44	348	33	16
chr15	14	2	10	33	163	27	377	32	20
chr16	0	0	8	14	80	25	311	36	15
chr17	33	11	0	14	203	83	663	52	41
chr18	4	0	0	12	58	26	242	23	5
chr19	34	4	0	34	80	69	253	56	37
chr2	46	9	1	29	232	65	952	81	53
chr20	20	1	0	22	75	12	327	15	16
chr21	3	0	0	0	27	5	125	9	10
chr22	9	7	0	20	56	37	188	15	4
chr3	28	0	0	16	153	49	515	44	9
chr4	19	3	0	20	157	57	652	53	19
chr5	61	5	0	19	292	52	526	47	30
chr6	54	12	0	70	340	70	508	52	23
chr7	43	0	1	50	164	94	649	38	27
chr8	18	1	1	6	125	55	499	30	46
chr9	20	11	1	7	119	75	464	58	25
