chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	101	45	8	174	1105	1832	1531	272	238
chr10	22	26	1	85	618	1059	601	120	109
chr11	30	29	0	103	583	966	823	139	110
chr12	62	16	3	130	651	1094	810	135	127
chr13	8	6	0	45	317	501	274	60	49
chr14	31	32	0	98	470	798	487	82	88
chr15	31	13	3	87	441	894	465	94	79
chr16	47	9	4	77	370	751	675	117	113
chr17	50	18	3	99	392	1060	927	155	143
chr18	18	5	0	29	271	532	247	46	49
chr19	47	27	3	94	423	564	1171	180	157
chr2	35	43	2	170	1015	1717	1007	145	146
chr20	23	21	3	57	320	591	391	69	54
chr21	9	2	1	30	153	199	167	38	36
chr22	26	7	0	84	246	453	389	72	74
chr3	62	19	3	116	796	1535	848	144	171
chr4	15	23	2	68	515	894	539	97	102
chr5	47	15	3	95	691	1223	688	136	106
chr6	68	125	3	137	837	1404	775	118	122
chr7	28	33	3	75	436	1191	739	118	137
chr8	28	28	0	92	563	907	540	81	65
chr9	33	17	2	74	377	918	593	94	118
