chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	521	56	5	578	900	1235	5152	415	254
chr10	193	33	1	247	370	659	2115	170	69
chr11	293	36	1	272	473	550	3018	342	197
chr12	258	32	1	320	589	710	2943	268	159
chr13	69	1	2	125	264	297	975	109	35
chr14	135	28	3	183	354	454	1761	182	67
chr15	160	15	3	179	355	489	1560	138	61
chr16	147	30	2	243	291	514	1935	225	93
chr17	287	31	2	384	420	675	2841	368	249
chr18	76	4	0	88	170	308	910	88	28
chr19	311	27	5	469	493	596	3269	436	292
chr2	298	66	4	549	872	981	3426	339	161
chr20	158	8	2	167	244	294	1445	149	65
chr21	63	6	0	124	169	141	479	57	36
chr22	112	18	2	210	180	238	1059	115	52
chr3	235	36	4	282	505	920	2962	235	125
chr4	143	36	2	193	414	669	2112	172	65
chr5	271	47	4	311	634	701	2587	241	109
chr6	240	339	1	438	695	869	2513	262	123
chr7	213	46	0	305	485	848	2437	262	106
chr8	183	12	2	216	509	595	1935	157	94
chr9	137	10	1	197	383	622	1977	190	78
