chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	79	8	6	138	1356	1101	463	139	133
chr10	30	8	4	77	717	712	186	65	36
chr11	41	8	6	104	727	697	283	80	69
chr12	29	4	3	70	598	533	273	69	76
chr13	5	2	0	21	360	239	69	39	10
chr14	20	4	2	42	434	405	126	51	39
chr15	16	4	3	64	479	500	176	63	44
chr16	30	6	4	99	519	530	227	71	80
chr17	74	9	4	142	597	676	368	124	118
chr18	11	1	1	24	355	309	69	24	15
chr19	69	16	6	156	533	519	383	137	138
chr2	32	3	5	84	1188	891	262	98	41
chr20	35	2	4	59	462	421	171	52	54
chr21	9	1	1	15	176	160	46	12	4
chr22	37	4	5	67	301	378	136	79	57
chr3	27	8	2	72	692	756	194	74	35
chr4	12	0	0	33	544	438	141	49	18
chr5	22	1	3	60	743	526	202	69	24
chr6	26	11	2	86	758	599	202	56	46
chr7	31	6	1	80	623	696	209	40	49
chr8	26	0	3	41	649	518	152	63	19
chr9	20	3	0	41	572	505	159	59	49
