chr	res	node	FDR	emp.pval
chr1	500kb	500kb_5_10_244500000_246500000	0.01	0.00000999990000099999
chr1	500kb	500kb_20_190_224000000_235500000	0.01	0.00000999990000099999
chr1	500kb	500kb_24_276_40500000_156500000	0.01	0.00000999990000099999
chr1	500kb	500kb_3_3_155000000_156000000	0.01	0.00000999990000099999
chr1	500kb	500kb_8_28_23500000_28000000	0.01	0.00000999990000099999
chr1	500kb	500kb_2_1_28500000_29000000	0.01	0.00000999990000099999
chr1	500kb	500kb_15_105_33000000_40000000	0.01	0.000109998900011
chr1	500kb	500kb_8_28_8000000_11500000	0.01	0.00000999990000099999
chr1	500kb	500kb_6_15_153500000_161500000	0.01	0.00000999990000099999
chr1	500kb	500kb_6_15_150000000_153000000	0.01	0.0000499995000049999
chr1	100kb	100kb_5_10_25000000_25400000	0.01	0.00000999990000099999
chr1	50kb	50kb_6_15_229400000_229650000	0.01	0.00000999990000099999
chr1	50kb	50kb_4_6_234550000_234700000	0.01	0.00000999990000099999
chr1	50kb	50kb_8_28_156500000_156850000	0.01	0.00000999990000099999
chr1	50kb	50kb_15_105_26700000_27400000	0.01	0.00000999990000099999
chr1	50kb	50kb_11_55_26150000_26650000	0.01	0.000119998800012
chr1	50kb	50kb_7_21_32650000_32950000	0.01	0.000589994100058999
chr1	50kb	50kb_8_28_36550000_36900000	0.01	0.00000999990000099999
chr1	50kb	50kb_19_171_8000000_8900000	0.01	0.00000999990000099999
chr1	50kb	50kb_8_28_21550000_21900000	0.01	0.00000999990000099999
chr1	50kb	50kb_8_28_160000000_160350000	0.01	0.00000999990000099999
chr1	50kb	50kb_11_55_150400000_150900000	0.01	0.000259997400026
chr1	50kb	50kb_4_6_150200000_150350000	0.01	0.00000999990000099999
chr1	50kb	50kb_2_1_24000000_24050000	0.01	0.000219997800022
chr1	50kb	50kb_18_153_85750000_86600000	0.01	0.00000999990000099999
chr1	50kb	50kb_10_45_85750000_86200000	0.01	0.00000999990000099999
chr1	50kb	50kb_7_21_70650000_70950000	0.01	0.000159998400016
chr1	50kb	50kb_17_136_77600000_78400000	0.01	0.000019999800002
chr1	50kb	50kb_8_28_65300000_65650000	0.01	0.0000899991000089999
chr1	50kb	50kb_19_171_243550000_244450000	0.01	0.00000999990000099999
chr1	50kb	50kb_8_28_183200000_183550000	0.01	0.00000999990000099999
chr1	50kb	50kb_5_10_171450000_171650000	0.01	0.00000999990000099999
chr1	10kb	10kb_30_435_245000000_245290000	0.01	0.00000999990000099999
chr1	10kb	10kb_47_1081_224650000_225110000	0.01	0.000899991000089999
chr1	10kb	10kb_39_741_54650000_55080000	0.01	0.000229997700023
chr1	10kb	10kb_17_136_43390000_43550000	0.01	0.00000999990000099999
chr1	10kb	10kb_39_741_156500000_156890000	0.01	0.00000999990000099999
chr1	10kb	10kb_25_300_156650000_156890000	0.01	0.00000999990000099999
chr1	10kb	10kb_14_91_156500000_156640000	0.01	0.00000999990000099999
chr1	10kb	10kb_25_300_156050000_156290000	0.01	0.00000999990000099999
chr1	10kb	10kb_15_105_26700000_26850000	0.01	0.000289997100029
chr1	10kb	10kb_9_36_28730000_28830000	0.01	0.000169998300017
chr1	10kb	10kb_26_325_35620000_35870000	0.01	0.000039999600004
chr1	10kb	10kb_19_171_39560000_39740000	0.01	0.00000999990000099999
chr1	10kb	10kb_23_253_8420000_8660000	0.01	0.00000999990000099999
chr1	10kb	10kb_14_91_1710000_1840000	0.01	0.00000999990000099999
chr1	10kb	10kb_34_561_21950000_22370000	0.01	0.000189998100019
chr1	10kb	10kb_22_231_112920000_113240000	0.01	0.000509994900050999
chr1	10kb	10kb_3_3_153930000_153950000	0.01	0.00000999990000099999
chr1	10kb	10kb_24_276_153500000_153740000	0.01	0.00000999990000099999
chr1	10kb	10kb_17_136_151810000_151980000	0.01	0.00000999990000099999
chr1	10kb	10kb_15_105_100730000_100910000	0.01	0.000229997700023
chr1	10kb	10kb_14_91_108080000_108210000	0.01	0.000349996500035
chr1	10kb	10kb_30_435_85750000_86040000	0.01	0.00000999990000099999
chr1	10kb	10kb_6_15_87160000_87210000	0.01	0.000469995300047
chr1	10kb	10kb_24_276_67990000_68220000	0.01	0.00000999990000099999
chr1	10kb	10kb_19_171_70650000_70990000	0.01	0.000029999700003
chr1	10kb	10kb_10_45_70650000_70740000	0.01	0.000019999800002
chr1	10kb	10kb_4_6_78400000_78440000	0.01	0.00000999990000099999
chr1	10kb	10kb_39_741_59220000_59690000	0.01	0.00000999990000099999
chr1	10kb	10kb_22_231_57880000_58110000	0.01	0.000119998800012
chr1	10kb	10kb_10_45_57880000_57980000	0.01	0.000029999700003
chr1	10kb	10kb_64_2016_56400000_57060000	0.01	0.00000999990000099999
chr1	10kb	10kb_42_861_56650000_57060000	0.01	0.00000999990000099999
chr1	10kb	10kb_21_210_56860000_57060000	0.01	0.00000999990000099999
chr1	10kb	10kb_17_136_207400000_207560000	0.01	0.00000999990000099999
chr1	10kb	10kb_8_28_207490000_207560000	0.01	0.00000999990000099999
chr1	10kb	10kb_4_6_207490000_207520000	0.01	0.00000999990000099999
chr1	10kb	10kb_10_45_179850000_180000000	0.01	0.000019999800002
chr1	10kb	10kb_24_276_168590000_169320000	0.01	0.000019999800002
chr1	10kb	10kb_9_36_168590000_169150000	0.01	0.00000999990000099999
chr1	10kb	10kb_4_6_168590000_169100000	0.01	0.00000999990000099999
chr1	5kb	5kb_2_1_247030000_247035000	0.01	0.000039999600004
chr1	5kb	5kb_2_1_246375000_246380000	0.01	0.000159998400016
chr1	5kb	5kb_21_210_245030000_245130000	0.01	0.000019999800002
chr1	5kb	5kb_10_45_245085000_245130000	0.01	0.000019999800002
chr1	5kb	5kb_5_10_245110000_245130000	0.01	0.00000999990000099999
chr1	5kb	5kb_3_3_245120000_245130000	0.01	0.00000999990000099999
chr1	5kb	5kb_3_3_224685000_224695000	0.01	0.000029999700003
chr1	5kb	5kb_2_1_224685000_224690000	0.01	0.00000999990000099999
chr1	5kb	5kb_22_231_229475000_229580000	0.01	0.00000999990000099999
chr1	5kb	5kb_10_45_229535000_229580000	0.01	0.00000999990000099999
chr1	5kb	5kb_7_21_229535000_229565000	0.01	0.00000999990000099999
chr1	5kb	5kb_3_3_229365000_229375000	0.01	0.000369996300037
chr1	5kb	5kb_2_1_227975000_227980000	0.01	0.000159998400016
chr1	5kb	5kb_3_3_233240000_233250000	0.01	0.000029999700003
chr1	5kb	5kb_2_1_233240000_233245000	0.01	0.000179998200018
chr1	5kb	5kb_13_78_234620000_234745000	0.01	0.00000999990000099999
chr1	5kb	5kb_5_10_234725000_234745000	0.01	0.00000999990000099999
chr1	5kb	5kb_3_3_234735000_234745000	0.01	0.00000999990000099999
chr1	5kb	5kb_2_1_234735000_234740000	0.01	0.0000599994000059999
chr1	5kb	5kb_25_300_234240000_234545000	0.01	0.0000599994000059999
