chr	res	node	FDR	emp.pval
chr1	1Mb	1Mb_19_171_168000000_186000000	0.01	0.000189998100019
chr1	1Mb	1Mb_12_66_150000000_209000000	0.01	0.00000999990000099999
chr1	1Mb	1Mb_24_276_202000000_246000000	0.01	0.001009989900101
chr1	1Mb	1Mb_17_136_0_32000000	0.01	0.00000999990000099999
chr1	1Mb	1Mb_13_78_20000000_32000000	0.01	0.00000999990000099999
chr1	1Mb	1Mb_4_6_0_10000000	0.01	0.001009989900101
chr1	1Mb	1Mb_3_3_8000000_10000000	0.01	0.00000999990000099999
chr1	500kb	500kb_3_3_207500000_209500000	0.01	0.00000999990000099999
chr1	500kb	500kb_6_15_27500000_32500000	0.01	0.000509994900050999
chr1	100kb	100kb_12_66_160000000_161100000	0.01	0.000579994200057999
chr1	100kb	100kb_21_210_182900000_184900000	0.01	0.00000999990000099999
chr1	100kb	100kb_14_91_150000000_151300000	0.01	0.00000999990000099999
chr1	100kb	100kb_14_91_234200000_235500000	0.01	0.00000999990000099999
chr1	100kb	100kb_19_171_93100000_94900000	0.01	0.000019999800002
chr1	100kb	100kb_6_15_95000000_95500000	0.01	0.00000999990000099999
chr1	100kb	100kb_8_28_26700000_27400000	0.01	0.000019999800002
chr1	100kb	100kb_6_15_25000000_25500000	0.01	0.00000999990000099999
chr1	100kb	100kb_23_253_33000000_36800000	0.01	0.00000999990000099999
chr1	50kb	50kb_7_21_160000000_160300000	0.01	0.000029999700003
chr1	50kb	50kb_6_15_156000000_156250000	0.01	0.000289997100029
chr1	50kb	50kb_8_28_156600000_156950000	0.01	0.000529994700053
chr1	50kb	50kb_6_15_156600000_156850000	0.01	0.00000999990000099999
chr1	50kb	50kb_4_6_186450000_186600000	0.01	0.00000999990000099999
chr1	50kb	50kb_7_21_182900000_183200000	0.01	0.00000999990000099999
chr1	50kb	50kb_7_21_182050000_182350000	0.01	0.0000799992000079999
chr1	50kb	50kb_2_1_171500000_171550000	0.01	0.00000999990000099999
chr1	50kb	50kb_3_3_172800000_172900000	0.01	0.000359996400036
chr1	50kb	50kb_3_3_171350000_171450000	0.01	0.00000999990000099999
chr1	50kb	50kb_7_21_203250000_203550000	0.01	0.00000999990000099999
chr1	50kb	50kb_8_28_201400000_201750000	0.01	0.00000999990000099999
chr1	50kb	50kb_2_1_207500000_207550000	0.01	0.00000999990000099999
chr1	50kb	50kb_7_21_209550000_209950000	0.01	0.00000999990000099999
chr1	50kb	50kb_5_10_209750000_209950000	0.01	0.00000999990000099999
chr1	50kb	50kb_2_1_209550000_209700000	0.01	0.00000999990000099999
chr1	50kb	50kb_13_78_209000000_209650000	0.01	0.00000999990000099999
chr1	50kb	50kb_6_15_209350000_209650000	0.01	0.00000999990000099999
chr1	50kb	50kb_5_10_153500000_153700000	0.01	0.00000999990000099999
