chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	436	47	4	600	1150	1403	4760	409	249
chr10	184	26	3	286	566	862	1846	180	81
chr11	247	35	1	346	581	696	2787	264	181
chr12	327	27	1	269	740	791	2657	266	161
chr13	68	10	0	120	313	363	878	85	28
chr14	123	20	3	194	426	529	1548	173	82
chr15	173	8	3	230	440	529	1417	158	63
chr16	127	26	0	211	354	466	1778	187	65
chr17	263	34	1	378	441	767	2624	313	232
chr18	54	3	1	100	225	394	808	82	21
chr19	259	19	5	375	452	480	2969	383	270
chr2	304	53	4	596	1134	1337	3219	287	175
chr20	142	7	4	159	380	345	1285	142	62
chr21	43	8	0	77	204	230	465	61	22
chr22	119	17	0	235	182	250	947	130	46
chr3	219	37	3	317	683	1109	2732	224	121
chr4	132	24	1	150	598	702	1881	146	76
chr5	223	34	5	300	806	898	2341	213	107
chr6	212	330	2	480	946	1010	2268	214	109
chr7	282	30	1	269	556	872	2121	225	91
chr8	169	17	3	206	677	787	1698	146	92
chr9	135	12	1	195	518	636	1852	172	71
