chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	15	6	4	51	571	546	387	74	72
chr10	11	2	0	34	329	442	114	42	15
chr11	6	2	2	34	282	309	203	27	23
chr12	13	2	0	27	328	375	208	40	43
chr13	4	0	0	9	157	209	63	21	12
chr14	9	5	2	21	220	275	138	35	14
chr15	4	1	1	17	195	298	105	22	24
chr16	10	2	1	29	178	241	150	43	17
chr17	10	2	0	28	210	281	202	51	32
chr18	11	0	0	1	152	222	49	15	12
chr19	19	2	3	12	148	144	211	38	34
chr2	20	2	0	49	583	670	245	47	20
chr20	12	0	1	15	143	215	93	14	16
chr21	5	5	0	10	85	84	55	16	5
chr22	9	0	0	10	67	127	79	17	9
chr3	20	6	0	30	383	530	208	45	47
chr4	6	3	0	12	321	392	150	39	25
chr5	28	8	0	45	384	433	172	34	17
chr6	13	37	0	63	489	599	216	38	46
chr7	14	2	0	25	261	418	167	36	28
chr8	12	2	0	27	347	416	125	29	12
chr9	13	1	0	21	212	279	128	30	17
