chromosome	name	p_value
chr1	500kb_199_19685_0_249000000	9.999000099990002e-05
chr1	500kb_187_17390_0_249000000	9.999000099990002e-05
chr1	500kb_146_10585_0_249000000	9.999000099990002e-05
chr1	500kb_41_820_93500000_161500000	0.0495950404959504
chr1	500kb_42_861_161000000_249000000	0.0026997300269973
chr1	500kb_104_5356_0_156500000	9.999000099990002e-05
chr1	500kb_19_171_144500000_161500000	0.0105989401059894
chr1	500kb_30_435_224000000_249000000	0.0116988301169883
chr1	500kb_60_1770_23500000_156500000	9.999000099990002e-05
chr1	500kb_44_946_0_23000000	0.0200979902009799
chr1	500kb_6_15_153500000_161500000	9.999000099990002e-05
chr1	500kb_20_190_224000000_235500000	9.999000099990002e-05
chr1	100kb_27_351_203800000_206900000	0.0091990800919908
chr1	500kb_24_276_40500000_156500000	9.999000099990002e-05
chr1	500kb_36_630_23500000_156000000	9.999000099990002e-05
chr1	500kb_30_435_500000_16000000	0.0014998500149985
chr1	100kb_10_45_153500000_154900000	9.999000099990002e-05
chr1	500kb_6_15_150000000_153000000	9.999000099990002e-05
chr1	100kb_10_45_24000000_25400000	0.0031996800319968
chr1	50kb_41_820_85450000_87450000	9.999000099990002e-05
chr1	50kb_78_3003_61300000_65650000	0.0080991900809919
chr1	100kb_47_1081_226600000_244400000	0.0050994900509949
chr1	500kb_5_10_244500000_246500000	9.999000099990002e-05
chr1	100kb_65_2080_224000000_230900000	0.0001999800019998
chr1	100kb_35_595_231500000_235900000	0.0041995800419958
chr1	100kb_12_66_205300000_206900000	0.0141985801419858
chr1	100kb_67_2211_40500000_156800000	9.999000099990002e-05
chr1	500kb_21_210_23500000_156000000	9.999000099990002e-05
chr1	500kb_15_105_33000000_40000000	9.999000099990002e-05
chr1	500kb_16_120_8000000_16000000	9.999000099990002e-05
chr1	50kb_53_1378_112850000_115450000	0.0096990300969903
chr1	50kb_10_45_157000000_157450000	0.0392960703929607
chr1	50kb_10_45_154500000_154950000	0.0003999600039996
chr1	50kb_10_45_153500000_153950000	9.999000099990002e-05
chr1	50kb_29_406_150000000_151400000	9.999000099990002e-05
chr1	100kb_5_10_25000000_25400000	9.999000099990002e-05
chr1	50kb_24_276_85450000_86600000	9.999000099990002e-05
chr1	50kb_22_231_67200000_68250000	0.0495950404959504
chr1	50kb_28_378_77600000_78950000	0.0001999800019998
chr1	50kb_54_1431_63000000_65650000	0.0076992300769923
chr1	100kb_25_300_242000000_244400000	0.0050994900509949
chr1	50kb_24_276_184000000_185150000	0.0413958604139586
chr1	50kb_48_1128_171050000_173450000	0.002999700029997
chr1	50kb_16_120_244500000_245250000	9.999000099990002e-05
chr1	50kb_49_1176_224000000_226450000	0.0001999800019998
chr1	50kb_81_3240_226250000_230950000	0.0097990200979902
chr1	50kb_40_780_234000000_235950000	9.999000099990002e-05
chr1	50kb_14_91_203800000_204450000	0.0002999700029997
chr1	100kb_7_21_205300000_205900000	0.0111988801119888
chr1	50kb_76_2850_40500000_45600000	0.0427957204279572
chr1	50kb_58_1647_44000000_156850000	9.999000099990002e-05
chr1	500kb_4_6_142500000_156000000	0.0008999100089991
chr1	500kb_17_136_23500000_32500000	9.999000099990002e-05
chr1	50kb_71_2485_33000000_36500000	0.0013998600139986
chr1	50kb_79_3081_36550000_40450000	0.0137986201379862
chr1	500kb_8_28_12000000_16000000	0.0058994100589941
chr1	500kb_8_28_8000000_11500000	9.999000099990002e-05
chr1	50kb_65_2080_20250000_23450000	0.0002999700029997
chr1	50kb_29_406_112850000_114250000	0.0285971402859714
chr1	50kb_10_45_116600000_117050000	0.0182981701829817
chr1	100kb_5_10_121000000_121400000	0.0011998800119988
chr1	10kb_49_1175_157010000_157490000	0.0352964703529647
chr1	50kb_20_190_160000000_160950000	9.999000099990002e-05
chr1	5kb_84_3477_154505000_154995000	0.0002999700029997
chr1	10kb_49_1176_153500000_153990000	9.999000099990002e-05
chr1	50kb_11_55_151450000_151950000	0.001999800019998
chr1	50kb_10_45_150950000_151400000	0.0018998100189981
chr1	50kb_19_171_150000000_150900000	9.999000099990002e-05
chr1	10kb_18_153_25000000_25170000	9.999000099990002e-05
chr1	50kb_28_378_93100000_94950000	0.0393960603939606
chr1	50kb_16_120_100200000_100950000	0.0008999100089991
chr1	50kb_13_78_101350000_101950000	0.0387961203879612
chr1	50kb_18_153_85750000_86600000	9.999000099990002e-05
chr1	50kb_7_21_87150000_87450000	0.0098990100989901
chr1	50kb_12_66_67700000_68250000	0.0003999600039996
chr1	50kb_17_136_77600000_78400000	9.999000099990002e-05
chr1	50kb_33_528_64050000_65650000	0.0035996400359964
chr1	50kb_2_1_226800000_226850000	9.999000099990002e-05
chr1	50kb_13_78_207400000_208100000	0.0484951504849515
chr1	50kb_30_435_211300000_212750000	0.0123987601239876
chr1	50kb_19_171_222800000_223950000	0.0064993500649935
chr1	50kb_26_325_243200000_244450000	0.0001999800019998
chr1	50kb_10_45_184700000_185150000	0.0370962903709629
chr1	50kb_15_105_192400000_193100000	0.0114988501149885
chr1	50kb_34_561_182600000_200950000	0.0031996800319968
chr1	50kb_26_325_171050000_172350000	0.0297970202979702
chr1	50kb_22_231_172400000_173450000	0.0285971402859714
chr1	50kb_16_120_246200000_246950000	0.0326967303269673
chr1	10kb_71_2482_244500000_245290000	9.999000099990002e-05
chr1	50kb_22_231_225350000_226450000	0.0034996500349965
chr1	50kb_27_351_224000000_225300000	0.0116988301169883
chr1	50kb_45_990_228750000_230950000	9.999000099990002e-05
chr1	50kb_15_105_235250000_235950000	0.0264973502649735
chr1	50kb_25_300_234000000_235200000	9.999000099990002e-05
chr1	10kb_38_703_204120000_204490000	9.999000099990002e-05
chr1	100kb_4_6_205300000_205600000	0.0007999200079992
chr1	50kb_6_15_206700000_206950000	0.0134986501349865
chr1	50kb_16_120_201450000_202200000	0.0121987801219878
chr1	10kb_14_91_161000000_161130000	0.0431956804319568
chr1	50kb_50_1225_44000000_46750000	9.999000099990002e-05
chr1	50kb_8_28_156500000_156850000	9.999000099990002e-05
chr1	500kb_3_3_155000000_156000000	9.999000099990002e-05
chr1	500kb_8_28_23500000_28000000	9.999000099990002e-05
chr1	500kb_9_36_28500000_32500000	9.999000099990002e-05
chr1	50kb_26_325_35250000_36500000	0.0011998800119988
chr1	50kb_34_561_36550000_38200000	0.0403959604039596
chr1	500kb_4_6_14500000_16000000	0.0092990700929907
chr1	50kb_45_990_9750000_11950000	0.0104989501049895
chr1	50kb_35_595_8000000_9700000	9.999000099990002e-05
chr1	50kb_34_561_20250000_21900000	9.999000099990002e-05
chr1	50kb_15_105_112850000_113550000	0.0006999300069993
chr1	10kb_27_351_116700000_116960000	0.0001999800019998
chr1	100kb_1_0_121400000_121400000	9.999000099990002e-05
chr1	10kb_48_1128_157010000_157490000	0.0340965903409659
chr1	50kb_8_28_160000000_160350000	9.999000099990002e-05
chr1	5kb_17_136_154815000_154995000	0.0030996900309969
chr1	5kb_67_2210_154505000_154915000	0.0018998100189981
chr1	10kb_25_300_153750000_153990000	9.999000099990002e-05
chr1	10kb_24_276_153500000_153740000	9.999000099990002e-05
chr1	10kb_53_1378_151450000_151980000	0.0188981101889811
chr1	10kb_2_1_151960000_151990000	0.0028997100289971
chr1	10kb_48_1126_150960000_151440000	0.0018998100189981
chr1	50kb_11_55_150400000_150900000	9.999000099990002e-05
chr1	50kb_8_28_150000000_150350000	9.999000099990002e-05
chr1	5kb_15_105_25000000_25175000	9.999000099990002e-05
chr1	5kb_21_210_25025000_25125000	0.0002999700029997
chr1	50kb_2_1_24000000_24050000	9.999000099990002e-05
chr1	10kb_77_2923_100200000_100990000	0.0006999300069993
chr1	10kb_61_1827_101360000_101990000	0.0284971502849715
chr1	10kb_8_28_89100000_89170000	0.0326967303269673
chr1	10kb_19_171_85560000_85740000	0.0395960403959604
chr1	50kb_10_45_85750000_86200000	9.999000099990002e-05
chr1	10kb_34_561_87160000_87490000	0.0091990800919908
chr1	10kb_87_3738_81460000_82340000	0.0432956704329567
chr1	10kb_5_10_82350000_82440000	0.0288971102889711
chr1	10kb_31_465_67990000_68290000	9.999000099990002e-05
chr1	50kb_7_21_70650000_70950000	0.0002999700029997
chr1	10kb_74_2689_77600000_78410000	0.0138986101389861
chr1	10kb_11_55_78080000_78440000	9.999000099990002e-05
chr1	50kb_10_45_72600000_73050000	0.0075992400759924
chr1	50kb_24_276_56050000_57200000	0.0236976302369763
chr1	50kb_19_171_64750000_65650000	0.0046995300469953
chr1	10kb_1_0_62410000_62410000	0.0162983701629837
chr1	10kb_2_1_51820000_51830000	0.0013998600139986
chr1	5kb_13_78_226835000_226895000	9.999000099990002e-05
chr1	50kb_8_28_207400000_207850000	0.0017998200179982
chr1	50kb_19_171_211850000_212750000	0.0493950604939506
chr1	50kb_8_28_222800000_223250000	0.0047995200479952
chr1	50kb_16_120_213300000_214750000	0.0347965203479652
chr1	50kb_5_10_236000000_236200000	0.0090990900909909
chr1	50kb_19_171_243550000_244450000	9.999000099990002e-05
chr1	10kb_24_276_184710000_185190000	0.0007999200079992
chr1	10kb_71_2479_192420000_193140000	0.0071992800719928
chr1	10kb_4_6_200310000_200390000	0.0431956804319568
chr1	10kb_7_21_173510000_173790000	0.0005999400059994
chr1	50kb_8_28_174950000_175300000	0.0245975402459754
chr1	50kb_24_276_182600000_183950000	0.0041995800419958
chr1	50kb_12_66_171050000_171650000	0.0002999700029997
chr1	50kb_6_15_172400000_172650000	0.0053994600539946
chr1	10kb_68_2278_244500000_245290000	9.999000099990002e-05
chr1	50kb_17_136_225350000_226150000	0.002999700029997
chr1	50kb_14_91_224650000_225300000	0.0120987901209879
chr1	50kb_19_171_228750000_229650000	9.999000099990002e-05
chr1	10kb_72_2551_235250000_235980000	0.0180981901809819
chr1	50kb_14_91_234550000_235200000	9.999000099990002e-05
chr1	5kb_2_1_205250000_205255000	0.0033996600339966
chr1	5kb_26_325_204370000_204495000	9.999000099990002e-05
chr1	10kb_17_136_205530000_205690000	0.0092990700929907
chr1	10kb_23_253_205300000_205520000	0.0111988801119888
chr1	10kb_14_91_206860000_206990000	0.0406959304069593
chr1	10kb_16_120_206700000_206850000	0.0475952404759524
chr1	10kb_5_10_202310000_202450000	0.0470952904709529
chr1	10kb_73_2625_201450000_202240000	0.0251974802519748
chr1	5kb_13_78_161075000_161135000	0.007999200079992
chr1	50kb_10_45_62500000_62950000	0.0030996900309969
chr1	50kb_17_136_40500000_41300000	0.0044995500449955
chr1	50kb_30_435_45250000_46750000	9.999000099990002e-05
chr1	50kb_20_190_44000000_45200000	0.0001999800019998
chr1	10kb_39_741_156500000_156890000	9.999000099990002e-05
chr1	50kb_13_78_155850000_156450000	9.999000099990002e-05
chr1	50kb_36_630_26700000_28450000	9.999000099990002e-05
chr1	50kb_44_946_23500000_26650000	0.0001999800019998
chr1	500kb_3_3_31500000_32500000	0.0002999700029997
chr1	500kb_6_15_28500000_31000000	0.0002999700029997
chr1	50kb_19_171_33000000_33900000	0.0003999600039996
chr1	50kb_11_55_36000000_36500000	0.0004999500049995
chr1	50kb_8_28_36550000_36900000	9.999000099990002e-05
chr1	500kb_2_1_12000000_12500000	0.0070992900709929
chr1	50kb_14_91_15800000_16450000	0.021997800219978
chr1	50kb_26_325_9750000_11000000	0.0266973302669733
chr1	50kb_19_171_8000000_8900000	9.999000099990002e-05
chr1	50kb_19_171_21000000_21900000	9.999000099990002e-05
chr1	50kb_16_120_21950000_22700000	0.0072992700729927
chr1	10kb_65_2072_112870000_113590000	0.0001999800019998
chr1	10kb_5_10_93900000_93940000	0.0407959204079592
chr1	5kb_53_1378_116700000_116965000	0.0001999800019998
chr1	10kb_12_66_157010000_157130000	0.0145985401459854
chr1	5kb_38_703_160150000_160395000	0.0041995800419958
chr1	5kb_42_861_160000000_160220000	0.0001999800019998
chr1	10kb_2_1_160970000_160990000	0.0050994900509949
chr1	5kb_10_45_154920000_154970000	0.0027997200279972
chr1	5kb_20_190_154505000_154625000	0.0021997800219978
chr1	10kb_7_21_153930000_153990000	9.999000099990002e-05
chr1	10kb_18_153_153750000_153920000	9.999000099990002e-05
chr1	5kb_24_276_153500000_153625000	0.0002999700029997
chr1	5kb_24_276_153630000_153745000	0.0163983601639836
chr1	10kb_2_1_152000000_152110000	9.999000099990002e-05
chr1	10kb_17_136_151810000_151980000	9.999000099990002e-05
chr1	5kb_2_1_151960000_151965000	0.0016998300169983
chr1	10kb_46_1035_150960000_151440000	0.0022997700229977
chr1	5kb_2_1_150950000_150955000	0.0210978902109789
chr1	10kb_17_136_150400000_150570000	0.0104989501049895
chr1	10kb_38_703_150560000_150940000	0.0063993600639936
chr1	50kb_4_6_150200000_150350000	9.999000099990002e-05
chr1	100kb_2_1_147000000_147100000	0.0378962103789621
chr1	5kb_9_36_25000000_25175000	9.999000099990002e-05
chr1	5kb_10_45_25025000_25070000	0.0008999100089991
chr1	5kb_9_36_24000000_24040000	9.999000099990002e-05
chr1	50kb_8_28_94000000_94350000	0.0102989701029897
chr1	10kb_4_6_93370000_93460000	0.0106989301069893
chr1	10kb_75_2774_100200000_100990000	0.0002999700029997
chr1	10kb_11_55_109200000_109300000	0.0002999700029997
chr1	10kb_58_1653_101360000_101980000	0.0257974202579742
chr1	10kb_6_15_89340000_89390000	0.0460953904609539
chr1	5kb_15_105_89100000_89175000	0.0306969303069693
chr1	5kb_36_630_85560000_85740000	0.0337966203379662
chr1	10kb_49_1176_85750000_86240000	9.999000099990002e-05
chr1	10kb_12_66_87160000_87270000	9.999000099990002e-05
chr1	10kb_84_3486_81460000_82340000	0.0364963503649635
chr1	10kb_3_3_82390000_82440000	0.008999100089991
chr1	10kb_22_231_67210000_67430000	0.0214978502149785
chr1	10kb_24_276_67990000_68220000	9.999000099990002e-05
chr1	10kb_19_171_70650000_70990000	0.0001999800019998
chr1	10kb_3_3_78270000_78370000	0.0081991800819918
chr1	10kb_4_6_78400000_78440000	9.999000099990002e-05
chr1	50kb_6_15_72600000_72850000	0.0003999600039996
chr1	10kb_6_15_59420000_60140000	0.022997700229977
chr1	10kb_118_6896_56050000_57240000	0.020997900209979
chr1	50kb_8_28_65300000_65650000	0.0001999800019998
chr1	5kb_2_1_51820000_51825000	0.0006999300069993
chr1	5kb_7_21_226835000_226865000	9.999000099990002e-05
chr1	5kb_6_15_226870000_226895000	0.0126987301269873
chr1	10kb_28_378_207400000_207670000	0.0001999800019998
chr1	5kb_11_55_226545000_226595000	0.0225977402259774
chr1	10kb_54_1431_211300000_211830000	0.0337966203379662
chr1	10kb_37_666_222800000_223290000	0.0024997500249975
chr1	50kb_3_3_223850000_223950000	0.0268973102689731
chr1	50kb_7_21_214350000_214750000	0.015998400159984
chr1	10kb_11_55_236140000_236240000	0.0008999100089991
chr1	10kb_92_4184_243550000_244480000	9.999000099990002e-05
chr1	10kb_18_153_184710000_185130000	0.0002999700029997
chr1	10kb_22_231_184000000_184690000	0.0448955104489551
chr1	10kb_70_2412_192420000_193140000	0.0070992900709929
chr1	50kb_10_45_197950000_198400000	0.0248975102489751
chr1	5kb_4_6_200360000_200375000	0.0273972602739726
chr1	10kb_3_3_173770000_173790000	9.999000099990002e-05
chr1	10kb_16_120_174950000_175100000	0.0468953104689531
chr1	50kb_16_120_182000000_182950000	0.0474952504749525
chr1	50kb_16_120_182600000_183550000	0.0001999800019998
chr1	50kb_5_10_171450000_171650000	9.999000099990002e-05
chr1	10kb_2_1_171710000_171730000	0.0006999300069993
chr1	50kb_6_15_173200000_173450000	0.0128987101289871
chr1	10kb_14_91_172400000_172530000	0.0004999500049995
chr1	50kb_6_15_167500000_167750000	0.0138986101389861
chr1	10kb_23_253_246200000_246420000	0.0014998500149985
chr1	10kb_38_703_244500000_244990000	0.0017998200179982
chr1	10kb_30_435_245000000_245290000	9.999000099990002e-05
chr1	50kb_11_55_225650000_226150000	0.0005999400059994
chr1	10kb_68_2277_224650000_225340000	0.0100989901009899
chr1	50kb_6_15_229400000_229650000	9.999000099990002e-05
chr1	10kb_74_2696_227900000_228740000	0.0354964503549645
chr1	10kb_70_2413_235250000_235980000	0.0166983301669833
chr1	50kb_4_6_234550000_234700000	9.999000099990002e-05
chr1	5kb_10_45_205240000_205295000	0.0006999300069993
chr1	5kb_23_253_204215000_204325000	0.012998700129987
chr1	5kb_19_171_204405000_204495000	0.0166983301669833
chr1	5kb_7_21_204370000_204400000	0.0001999800019998
chr1	5kb_33_528_205530000_205690000	0.024997500249975
chr1	5kb_1_0_205695000_205695000	0.0014998500149985
chr1	5kb_9_36_206860000_206900000	9.999000099990002e-05
chr1	5kb_31_465_206700000_206855000	0.0462953704629537
chr1	10kb_4_6_202310000_202390000	0.0400959904009599
chr1	10kb_70_2415_201450000_202240000	0.0423957604239576
chr1	5kb_8_28_161190000_161275000	0.0003999600039996
chr1	5kb_6_15_161110000_161135000	0.0221977802219778
chr1	10kb_49_1173_62500000_62990000	0.0025997400259974
chr1	50kb_9_36_40500000_40900000	0.001999800019998
chr1	50kb_15_105_45250000_46000000	9.999000099990002e-05
chr1	50kb_13_78_44550000_45200000	0.0007999200079992
chr1	10kb_25_300_156650000_156890000	9.999000099990002e-05
chr1	10kb_14_91_156500000_156640000	9.999000099990002e-05
chr1	10kb_62_1890_155850000_156480000	9.999000099990002e-05
chr1	10kb_3_3_156420000_156490000	0.0198980101989801
chr1	50kb_6_15_155000000_155250000	0.0020997900209979
chr1	50kb_21_210_27450000_28450000	0.0005999400059994
chr1	50kb_15_105_26700000_27400000	9.999000099990002e-05
chr1	50kb_24_276_25500000_26650000	9.999000099990002e-05
chr1	50kb_14_91_31500000_32150000	0.0115988401159884
chr1	50kb_16_120_32200000_32950000	0.0052994700529947
chr1	500kb_2_1_28500000_29000000	9.999000099990002e-05
chr1	50kb_7_21_33000000_33300000	0.0003999600039996
chr1	10kb_54_1427_36000000_36540000	0.0004999500049995
chr1	50kb_12_66_39450000_40000000	0.0026997300269973
chr1	10kb_23_253_36550000_36770000	0.0002999700029997
chr1	10kb_17_136_36780000_36940000	0.0011998800119988
chr1	50kb_7_21_12000000_12300000	0.0004999500049995
chr1	10kb_4_6_16180000_16480000	0.033996600339966
chr1	50kb_15_105_9750000_10450000	0.0082991700829917
chr1	10kb_3_3_9720000_9740000	0.001999800019998
chr1	10kb_90_3996_8000000_8940000	9.999000099990002e-05
chr1	10kb_12_66_17730000_17840000	0.0001999800019998
chr1	10kb_2_1_20890000_20980000	0.0052994700529947
chr1	50kb_8_28_21550000_21900000	9.999000099990002e-05
chr1	10kb_75_2769_21950000_22740000	0.0032996700329967
chr1	10kb_63_1947_112870000_113590000	0.0001999800019998
chr1	10kb_9_36_111650000_111730000	0.0317968203179682
chr1	5kb_4_6_93900000_93915000	0.0193980601939806
chr1	5kb_31_465_116815000_116965000	9.999000099990002e-05
chr1	5kb_17_136_157055000_157135000	0.0472952704729527
chr1	5kb_17_136_160315000_160395000	0.0097990200979902
chr1	5kb_28_378_160070000_160220000	9.999000099990002e-05
chr1	5kb_2_1_160990000_160995000	0.0128987101289871
chr1	10kb_4_6_161710000_161740000	0.040995900409959
chr1	5kb_4_6_154920000_154940000	0.007999200079992
chr1	5kb_13_78_154545000_154625000	0.013998600139986
chr1	5kb_7_21_154505000_154540000	0.0361963803619638
chr1	5kb_14_91_154850000_154915000	0.0005999400059994
chr1	10kb_3_3_153930000_153950000	9.999000099990002e-05
chr1	5kb_21_210_153795000_153895000	0.0001999800019998
chr1	5kb_15_105_153750000_153925000	0.0002999700029997
chr1	5kb_18_153_153500000_153595000	9.999000099990002e-05
chr1	5kb_11_55_153630000_153745000	0.0335966403359664
chr1	5kb_33_528_151810000_151985000	9.999000099990002e-05
chr1	10kb_24_276_150960000_151200000	0.0038996100389961
chr1	5kb_32_494_150400000_150575000	0.0096990300969903
chr1	10kb_16_120_150790000_150940000	0.0070992900709929
chr1	5kb_24_276_150200000_150320000	9.999000099990002e-05
chr1	5kb_16_120_150315000_150395000	0.0023997600239976
chr1	10kb_11_55_147000000_147100000	0.016998300169983
chr1	5kb_14_91_154330000_154395000	0.0206979302069793
chr1	5kb_3_3_17340000_17350000	0.0337966203379662
chr1	5kb_4_6_17010000_17025000	9.999000099990002e-05
chr1	5kb_4_6_25160000_25175000	9.999000099990002e-05
chr1	5kb_6_15_25100000_25125000	0.0475952404759524
chr1	5kb_4_6_25055000_25070000	0.0078992100789921
chr1	5kb_6_15_25025000_25050000	0.0283971602839716
chr1	5kb_5_10_24020000_24040000	9.999000099990002e-05
chr1	10kb_39_741_94000000_94380000	0.0097990200979902
chr1	5kb_4_6_93420000_93465000	0.0048995100489951
chr1	10kb_24_276_109750000_109990000	0.0054994500549945
chr1	10kb_74_2701_100200000_100990000	0.0002999700029997
chr1	10kb_14_91_108080000_108210000	0.0001999800019998
chr1	10kb_5_10_109200000_109240000	9.999000099990002e-05
chr1	10kb_28_378_107520000_107790000	0.0377962203779622
chr1	10kb_38_703_101360000_101760000	0.0110988901109889
chr1	5kb_5_10_89150000_89175000	0.0068993100689931
chr1	10kb_19_171_86050000_86240000	0.0032996700329967
chr1	10kb_30_435_85750000_86040000	9.999000099990002e-05
chr1	10kb_6_15_87220000_87270000	0.0171982801719828
chr1	10kb_6_15_87160000_87210000	0.0001999800019998
chr1	5kb_4_6_82390000_82405000	0.0038996100389961
chr1	5kb_2_1_66820000_66825000	0.0328967103289671
chr1	10kb_9_36_67350000_67430000	0.0012998700129987
chr1	5kb_19_171_68135000_68225000	9.999000099990002e-05
