chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	133	22	7	213	2006	1756	745	219	203
chr10	42	6	4	93	1056	1070	269	101	48
chr11	67	11	9	143	1184	1046	482	150	126
chr12	57	9	9	111	1105	911	373	121	109
chr13	17	3	0	36	657	441	110	54	20
chr14	28	15	6	81	749	623	190	87	69
chr15	30	6	4	93	683	700	234	74	64
chr16	52	5	1	105	739	675	307	109	88
chr17	98	10	4	155	752	824	483	136	132
chr18	22	3	0	36	554	495	100	37	16
chr19	59	12	6	193	605	617	445	133	158
chr2	59	3	7	102	1961	1479	430	164	129
chr20	33	2	3	75	638	536	211	72	75
chr21	6	1	0	15	297	243	67	24	21
chr22	32	6	3	71	333	452	173	83	70
chr3	52	11	5	111	1323	1433	375	141	86
chr4	37	1	4	43	1215	950	220	86	77
chr5	49	4	3	115	1340	966	349	114	54
chr6	42	32	6	121	1325	1028	320	94	88
chr7	60	12	9	102	1039	1134	315	93	89
chr8	45	5	3	80	1166	841	234	97	53
chr9	42	7	2	81	936	848	307	102	90
