chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	84	10	12	183	1867	1459	1713	163	140
chr10	23	6	3	69	998	873	694	70	36
chr11	39	5	7	59	1017	826	972	120	88
chr12	32	7	1	107	955	717	914	111	54
chr13	12	2	0	19	671	435	336	42	21
chr14	17	8	2	34	656	483	566	74	43
chr15	23	3	4	64	568	526	557	78	26
chr16	34	4	2	64	643	533	693	93	63
chr17	41	7	5	95	692	596	871	97	100
chr18	13	2	0	13	555	463	266	45	14
chr19	50	10	9	127	593	481	1185	150	114
chr2	42	6	3	74	1932	1256	1186	133	84
chr20	21	6	2	28	503	403	525	86	64
chr21	5	0	1	13	232	192	188	10	16
chr22	13	7	3	31	304	336	318	50	42
chr3	41	8	2	53	1252	1199	1052	153	72
chr4	25	6	1	43	1259	776	699	97	46
chr5	28	5	4	52	1378	784	840	115	38
chr6	36	79	0	172	1273	921	843	92	53
chr7	32	6	3	60	1033	1028	768	112	84
chr8	26	5	4	34	1102	742	620	78	31
chr9	20	7	2	38	893	649	708	99	59
