chr	res	node	FDR	emp.pval
chr11	10kb	10kb_4_6_14910000_14940000	0.01	0.00360996390036099
chr11	5kb	5kb_2_1_14925000_14930000	0.01	1.999980000199998e-5
chr13	10kb	10kb_7_21_110400000_110790000	0.01	0.00142998570014299
chr13	10kb	10kb_4_6_110760000_110790000	0.01	1.999980000199998e-5
chr13	5kb	5kb_4_6_110760000_110775000	0.01	2.999970000299997e-5
chr13	5kb	5kb_2_1_110760000_110765000	0.01	9.99990000099999e-6
chr14	500kb	500kb_21_210_65000000_77500000	0.01	9.99990000099999e-6
chr14	100kb	100kb_28_378_75100000_77900000	0.01	5.999940000599994e-5
chr14	50kb	50kb_4_6_77350000_77500000	0.01	3.999960000399996e-5
chr14	50kb	50kb_5_10_55000000_55200000	0.01	1.7999820001799e-4
chr14	10kb	10kb_4_6_77350000_77380000	0.01	0.00123998760012399
chr14	10kb	10kb_2_1_77370000_77380000	0.01	5.999940000599994e-5
chr14	10kb	10kb_8_28_59470000_59540000	0.01	0.00271997280027199
chr14	10kb	10kb_3_3_59470000_59490000	0.01	4.5999540004599e-4
chr14	5kb	5kb_6_15_55030000_55055000	0.01	1.999980000199998e-5
chr14	5kb	5kb_2_1_55030000_55035000	0.01	9.99990000099999e-6
chr14	5kb	5kb_2_1_29220000_29225000	0.01	2.8999710002899e-4
chr14	5kb	5kb_2_1_71780000_71785000	0.01	2.2999770002299e-4
chr14	5kb	5kb_2_1_77380000_77385000	0.01	1.5999840001599e-4
chr14	5kb	5kb_3_3_60785000_60795000	0.01	3.999960000399996e-5
chr14	5kb	5kb_3_3_59485000_59495000	0.01	4.999950000499995e-5
chr14	5kb	5kb_2_1_56950000_56955000	0.01	3.3999660003399e-4
chr16	100kb	100kb_40_780_62500000_66400000	NA	1
chr16	50kb	50kb_4_6_66300000_66450000	0.01	0.00500994990050099
chr16	50kb	50kb_2_1_66300000_66350000	0.01	5.999940000599994e-5
chr16	10kb	10kb_6_15_66300000_66350000	NA	5.3999460005399e-4
chr16	5kb	5kb_2_1_66300000_66305000	0.01	1.999980000199998e-5
chr17	100kb	100kb_18_153_70700000_72400000	NA	0.01298987010129898
chr17	50kb	50kb_3_3_72350000_72450000	0.01	0.00109998900010999
chr17	10kb	10kb_5_10_72450000_72490000	0.01	0.00175998240017599
chr17	5kb	5kb_2_1_72450000_72455000	0.01	2.999970000299997e-5
chr19	500kb	500kb_6_15_3500000_6000000	0.01	2.8999710002899e-4
chr19	100kb	100kb_12_66_3500000_4600000	NA	0.00298997010029899
chr19	50kb	50kb_3_3_4100000_4200000	0.01	0.00199998000019999
chr19	10kb	10kb_3_3_4190000_4210000	0.01	6.6999330006699e-4
chr19	5kb	5kb_4_6_4200000_4215000	0.01	2.999970000299997e-5
chr19	5kb	5kb_2_1_4200000_4205000	0.01	9.99990000099999e-6
chr20	10kb	10kb_14_91_49410000_49540000	NA	0.00590994090059099
chr20	5kb	5kb_2_1_49410000_49545000	0.01	3.999960000399996e-5
chr21	1Mb	1Mb_3_3_44000000_46000000	0.01	9.99990000099999e-6
chr21	100kb	100kb_15_105_45500000_46900000	NA	3.999960000399996e-5
chr21	10kb	10kb_6_15_45700000_45750000	0.01	0.00166998330016699
chr21	10kb	10kb_4_6_45720000_45750000	0.01	0.00443995560044399
chr21	5kb	5kb_2_1_45720000_45725000	0.01	1.1999880001199e-4
chr2	1Mb	1Mb_10_45_172000000_237000000	0.01	9.99990000099999e-6
chr2	1Mb	1Mb_77_2926_0_76000000	0.01	3.3999660003399e-4
chr2	100kb	100kb_14_91_232000000_233300000	0.01	9.99990000099999e-6
chr2	50kb	50kb_3_3_232350000_232450000	0.01	4.5999540004599e-4
chr2	50kb	50kb_2_1_16700000_16750000	0.01	0.00118998810011899
chr2	10kb	10kb_4_6_232460000_232490000	0.01	1.4999850001499e-4
chr2	10kb	10kb_2_1_232460000_232470000	0.01	1.999980000199998e-5
chr2	10kb	10kb_9_36_30400000_30930000	0.01	2.999970000299997e-5
chr2	5kb	5kb_2_1_30930000_30935000	0.01	9.99990000099999e-6
chr2	5kb	5kb_4_6_16730000_16795000	0.01	1.999980000199998e-5
chr2	5kb	5kb_2_1_16790000_16795000	0.01	9.99990000099999e-6
chr2	5kb	5kb_2_1_232470000_232475000	0.01	9.99990000099999e-6
chr4	1Mb	1Mb_18_153_0_17000000	0.01	9.99990000099999e-6
chr4	1Mb	1Mb_6_15_36000000_41000000	0.01	3.2999670003299e-4
chr4	500kb	500kb_12_66_140000000_148500000	0.01	3.999960000399996e-5
chr4	500kb	500kb_7_21_152000000_155000000	0.01	5.999940000599994e-5
chr4	500kb	500kb_26_325_76500000_89500000	0.01	4.7999520004799e-4
chr4	500kb	500kb_10_45_3500000_8000000	0.01	9.99990000099999e-6
chr4	100kb	100kb_18_153_140000000_141700000	0.01	2.999970000299997e-5
chr4	100kb	100kb_22_231_4400000_6500000	0.01	1.999980000199998e-5
chr4	10kb	10kb_4_6_140550000_140580000	0.01	0.00188998110018899
chr4	10kb	10kb_7_21_155250000_155310000	0.01	0.00218997810021899
chr4	10kb	10kb_3_3_155250000_155270000	0.01	2.999970000299997e-5
chr4	10kb	10kb_5_10_108650000_108830000	0.01	6.0999390006099e-4
chr4	10kb	10kb_9_36_110900000_111430000	0.01	9.1999080009199e-4
chr4	10kb	10kb_5_10_110900000_111430000	0.01	1.0999890001099e-4
chr4	10kb	10kb_3_3_110920000_111430000	0.01	9.99990000099999e-6
chr4	10kb	10kb_2_1_84550000_84560000	0.01	7.0999290007099e-4
chr4	10kb	10kb_2_1_6330000_6340000	0.01	4.999950000499995e-5
chr4	10kb	10kb_5_10_38750000_38790000	0.01	0.00170998290017099
chr4	5kb	5kb_2_1_164470000_164475000	0.01	1.3999860001399e-4
chr4	5kb	5kb_2_1_140570000_140575000	0.01	8.99991000089999e-5
chr4	5kb	5kb_2_1_185925000_185930000	0.01	4.999950000499995e-5
chr4	5kb	5kb_2_1_113440000_113445000	0.01	1.0999890001099e-4
chr4	5kb	5kb_3_3_110920000_111435000	0.01	9.99990000099999e-6
chr4	5kb	5kb_2_1_110920000_111435000	0.01	9.99990000099999e-5
chr4	5kb	5kb_5_10_38750000_38770000	0.01	4.999950000499995e-5
chr4	5kb	5kb_3_3_38750000_38760000	0.01	9.99990000099999e-6
chr4	5kb	5kb_4_6_155250000_155275000	0.01	9.99990000099999e-5
chr4	5kb	5kb_4_6_108650000_108670000	0.01	7.1999280007199e-4
chr4	5kb	5kb_2_1_103540000_103545000	0.01	1.3999860001399e-4
chr4	5kb	5kb_2_1_84560000_84565000	0.01	9.99990000099999e-5
chr4	5kb	5kb_2_1_6330000_6335000	0.01	1.0999890001099e-4
chr4	5kb	5kb_4_6_39960000_39975000	0.01	2.2999770002299e-4
chr4	5kb	5kb_3_3_20420000_20430000	0.01	6.1999380006199e-4
chr5	500kb	500kb_17_136_140000000_176500000	0.01	9.99990000099999e-6
chr5	100kb	100kb_23_253_140000000_142200000	0.01	1.4999850001499e-4
chr5	10kb	10kb_7_21_142090000_142290000	0.01	9.99990000099999e-6
chr5	10kb	10kb_3_3_300000_320000	0.01	0.00196998030019699
chr5	10kb	10kb_3_3_55560000_56140000	0.01	3.999960000399996e-5
chr5	5kb	5kb_2_1_142090000_142095000	0.01	9.99990000099999e-6
chr5	5kb	5kb_3_3_315000_325000	0.01	7.999920000799993e-5
chr5	5kb	5kb_2_1_315000_320000	0.01	3.999960000399996e-5
chr5	5kb	5kb_3_3_55560000_56130000	0.01	9.99990000099999e-6
