chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	105	14	13	141	1549	1338	649	200	182
chr10	29	5	5	47	699	828	249	90	60
chr11	51	7	10	82	840	811	390	119	106
chr12	48	8	3	88	825	746	360	85	103
chr13	9	0	1	23	456	380	95	43	17
chr14	19	10	6	76	503	524	191	70	61
chr15	19	1	2	70	468	553	201	62	52
chr16	35	6	3	61	465	482	284	88	74
chr17	62	8	4	114	532	599	445	127	102
chr18	13	2	0	14	405	360	76	33	26
chr19	38	8	6	111	448	448	365	128	98
chr2	39	0	7	55	1381	1167	400	143	118
chr20	25	1	2	48	421	410	200	60	62
chr21	3	1	0	13	168	156	56	15	16
chr22	22	2	2	41	242	302	155	61	42
chr3	39	5	7	42	1031	1121	342	106	100
chr4	28	3	1	55	901	728	208	63	33
chr5	45	5	2	64	974	781	296	96	78
chr6	41	22	2	80	1039	866	282	80	82
chr7	33	9	5	59	773	832	258	72	72
chr8	37	2	4	48	851	624	217	94	36
chr9	29	6	2	48	679	625	248	85	78
